CODGEO;CODGEO;LIBGEO;DENS;LIBDENS;PMUN21;P1;P2;P3;P4;P5;P6;P7;Département;Région;NB_F303;NB_F303_NB_SALLES;NB_F305;NB_F307;NB_F311;NB_F312;NB_F313;NB_F314;NB_F315;NB_F315_NB_SALLES;NB_D201;NB_D202;NB_D203;NB_D206;NB_D207;NB_D208;NB_D210;NB_D212;NB_D214;NB_D231;NB_D232;NB_D233;NB_D235;NB_D237;NB_D238;NB_D240;NB_D243
13110;13110;Trets;2;Centres urbains intermédiaires;10678;0,0;55,5;0,0;25,6;0,0;13,3;5,6;Bouches-du-RhÃ´ne;Provence-Alpes-CÃ´te d'Azur;1;1;0;1;0;0;0;0;0;0;15;2;0;0;0;1;1;1;1;2;28;24;3;3;1;1;6
14047;14047;Bayeux;2;Centres urbains intermédiaires;12775;0,0;83,2;0,0;16,3;0,0;0,5;0,0;Calvados;Normandie;1;3;0;1;0;1;0;0;0;0;20;4;1;0;0;2;0;6;2;4;27;19;12;6;0;3;11
14341;14341;Ifs;1;Grands centres urbains;11981;88,2;0,0;0,0;9,2;0,0;2,4;0,1;Calvados;Normandie;0;0;0;1;0;0;0;0;1;1;10;0;0;0;0;0;0;0;0;2;13;9;5;4;1;1;1
14366;14366;Lisieux;2;Centres urbains intermédiaires;19807;0,0;72,8;0,0;24,7;0,0;2,3;0,2;Calvados;Normandie;2;5;1;1;1;1;0;0;1;1;22;2;1;2;1;5;2;16;4;4;31;25;9;8;3;1;12
14437;14437;Mondeville;1;Grands centres urbains;10075;87,0;0,0;0,0;12,8;0,0;0,0;0,2;Calvados;Normandie;1;0;1;1;0;0;0;0;1;1;10;0;0;0;0;1;0;0;0;3;11;13;2;4;1;0;2
14762;14762;Vire Normandie;2;Centres urbains intermédiaires;17135;0,0;36,5;0,0;26,3;3,4;21,0;12,9;Calvados;Normandie;1;2;1;1;0;1;0;0;1;0;17;5;0;2;0;4;0;3;1;3;25;15;3;3;0;1;4
16102;16102;Cognac;2;Centres urbains intermédiaires;18448;0,0;58,0;0,0;39,3;0,0;2,8;0,0;Charente;Nouvelle-Aquitaine;1;7;1;2;1;2;0;1;1;2;15;2;1;2;2;5;0;0;3;1;14;20;9;3;0;1;10
17306;17306;Royan;2;Centres urbains intermédiaires;19029;0,0;49,4;0,0;46,3;0,0;4,1;0,3;Charente-Maritime;Nouvelle-Aquitaine;1;0;0;1;1;0;0;0;0;0;30;4;1;5;1;5;0;12;2;4;49;34;4;10;2;1;13
19272;19272;Tulle;3;Petites villes;13992;0,0;0,0;85,0;0,0;0,0;14,1;0,9;CorrÃ¨ze;Nouvelle-Aquitaine;1;0;1;2;2;2;0;2;3;4;14;2;1;0;0;2;1;2;1;3;25;17;5;4;1;1;6
21166;21166;Chenôve;1;Grands centres urbains;14445;93,4;0,0;0,0;6,4;0,0;0,0;0,1;CÃ´te-d'Or;Bourgogne-Franche-ComtÃ©;0;0;1;1;0;0;0;0;0;0;49;2;1;0;3;1;2;1;1;3;28;24;10;4;0;0;7
