CODGEO;CODGEO;LIBGEO;DENS;LIBDENS;PMUN21;P1;P2;P3;P4;P5;P6;P7;Département;Région;NB_G101;NB_G102;NB_G103;NB_G104;NB_F303;NB_F303_NB_SALLES;NB_F305;NB_F307;NB_F311;NB_F312;NB_F313;NB_F314;NB_F315;NB_F315_NB_SALLES
27284;27284;Gisors;2;Centres urbains intermédiaires;11919;0;77,92;0;20,48;0;1,46;0,14;Eure;Normandie;1;1;0;1;1;1;0;1;1;0;0;1;0;0
27375;27375;Louviers;2;Centres urbains intermédiaires;18350;0;66,21;0;28,03;0;5,24;0,51;Eure;Normandie;3;2;1;1;1;5;0;1;1;1;0;1;1;1
27701;27701;Val-de-Reuil;2;Centres urbains intermédiaires;12647;0;81,83;0;16,38;0;1,03;0,76;Eure;Normandie;0;5;0;1;1;2;1;1;0;0;0;0;1;1
28088;28088;Châteaudun;3;Petites villes;12909;0;0;90,51;0;0;8,49;1;Eure-et-Loir;Centre-Val de Loire;2;2;1;0;1;3;0;1;1;1;1;1;2;2
28218;28218;Lucé;1;Grands centres urbains;15602;85,55;0;0;13,25;0;1,2;0;Eure-et-Loir;Centre-Val de Loire;0;2;0;0;0;0;1;1;0;0;0;2;0;0
28229;28229;Mainvilliers;1;Grands centres urbains;11057;90,06;0;0;5,38;0;3,87;0,69;Eure-et-Loir;Centre-Val de Loire;1;0;0;1;0;0;0;2;0;2;0;1;0;0
28404;28404;Vernouillet;2;Centres urbains intermédiaires;12455;0;71,09;0;28,86;0;0;0,05;Eure-et-Loir;Centre-Val de Loire;0;1;0;0;0;0;0;2;0;0;0;0;1;2
29046;29046;Douarnenez;3;Petites villes;14163;0;0;87,72;0;0;10,62;1,66;Finistère;Bretagne;3;11;5;1;1;1;0;1;0;1;0;0;0;0
29058;29058;Fouesnant;3;Petites villes;10098;0;0;67,62;0;0,19;30,77;1,42;Finistère;Bretagne;2;8;17;1;0;0;0;1;0;0;0;0;0;0
29075;29075;Guipavas;4;Ceintures urbaines;15460;9,8;0,03;0;73,78;0;14,03;2,37;Finistère;Bretagne;3;1;0;1;0;0;0;1;0;0;0;0;0;0
29103;29103;Landerneau;2;Centres urbains intermédiaires;16206;0;68,37;0;26,89;0;4,54;0,2;Finistère;Bretagne;2;2;0;0;1;2;0;1;0;0;0;1;0;0
29151;29151;Morlaix;2;Centres urbains intermédiaires;14903;0;60,2;0;28,17;3,94;5,53;2,15;Finistère;Bretagne;5;6;0;1;2;4;0;3;1;2;0;1;1;1
29189;29189;Plougastel-Daoulas;4;Ceintures urbaines;13445;0;0;0;57,18;0;41,99;0,84;Finistère;Bretagne;1;3;1;0;1;2;0;1;0;0;0;0;1;1
29212;29212;Plouzané;4;Ceintures urbaines;13473;0;0;0;88,23;0;9,19;2,58;Finistère;Bretagne;1;1;0;0;0;0;0;1;0;0;0;0;0;0
29233;29233;Quimperlé;2;Centres urbains intermédiaires;12313;0;48,16;0;43,31;0;6,76;1,77;Finistère;Bretagne;2;4;1;1;1;1;0;1;0;0;0;0;0;0
29235;29235;Le Relecq-Kerhuon;2;Centres urbains intermédiaires;11791;0;56,92;0;39,86;0;3;0,23;Finistère;Bretagne;0;1;0;0;0;0;0;1;0;0;0;0;0;0
2A247;2A247;Porto-Vecchio;3;Petites villes;11229;0;0;51,65;0;0;38,88;9,47;Corse-du-Sud;Corse;10;35;20;4;1;1;0;1;0;0;0;0;0;0
30028;30028;Bagnols-sur-Cèze;2;Centres urbains intermédiaires;18248;0;70,9;0;20,3;0;7,24;1,56;Gard;Occitanie;2;1;2;0;1;4;1;1;0;2;0;1;0;0
30032;30032;Beaucaire;2;Centres urbains intermédiaires;15680;0;49,75;0;37,89;0;5,78;6,58;Gard;Occitanie;1;2;0;1;0;0;1;1;0;2;0;1;0;0
30202;30202;Pont-Saint-Esprit;2;Centres urbains intermédiaires;10600;0;59,05;0;33,65;0;6,6;0,7;Gard;Occitanie;0;2;0;1;1;2;0;1;0;1;0;0;0;0
30258;30258;Saint-Gilles;2;Centres urbains intermédiaires;14264;0;55,16;0;31,33;0,06;6,94;6,51;Gard;Occitanie;0;3;1;1;0;0;0;1;0;2;0;0;0;0
30341;30341;Vauvert;2;Centres urbains intermédiaires;11774;0;62,39;0;18,8;5,38;8,21;5,22;Gard;Occitanie;0;3;2;4;0;0;0;1;0;0;0;0;0;0
30351;30351;Villeneuve-lès-Avignon;1;Grands centres urbains;12617;88,99;0;0;6,85;0;3,32;0,85;Gard;Occitanie;7;5;2;2;0;0;0;1;0;2;2;0;1;1
31033;31033;Auterive;3;Petites villes;10126;0;0;81,03;0;0;16,87;2,11;Haute-Garonne;Occitanie;1;1;0;0;1;1;0;1;0;0;0;0;0;0
31044;31044;Balma;1;Grands centres urbains;17385;75,19;0;0;21,25;0;3,18;0,38;Haute-Garonne;Occitanie;4;2;0;1;0;0;0;1;0;0;0;0;1;1
31113;31113;Castanet-Tolosan;2;Centres urbains intermédiaires;14903;0;69,42;0;28,89;0;1,34;0,35;Haute-Garonne;Occitanie;1;0;0;3;1;1;0;0;0;0;0;0;0;0
31116;31116;Castelginest;1;Grands centres urbains;10876;76,41;0;0;19,89;0;3,69;0;Haute-Garonne;Occitanie;0;0;0;0;1;1;0;0;0;0;0;0;0;0
31187;31187;Fonsorbes;2;Centres urbains intermédiaires;12546;0;52,43;0;38,16;2,78;6,15;0,49;Haute-Garonne;Occitanie;1;0;0;0;0;0;0;1;0;0;0;0;0;0
31424;31424;Plaisance-du-Touch;1;Grands centres urbains;19944;80,38;0;0;11,13;1,68;5,77;1,04;Haute-Garonne;Occitanie;4;0;0;1;1;3;0;1;0;0;0;0;0;0
31446;31446;Ramonville-Saint-Agne;1;Grands centres urbains;14949;77,65;0;0;22,19;0;0,11;0,06;Haute-Garonne;Occitanie;2;3;0;2;1;1;0;1;0;0;0;0;1;1
31483;31483;Saint-Gaudens;2;Centres urbains intermédiaires;11613;0;53,25;0;33,1;0;12,55;1,1;Haute-Garonne;Occitanie;2;3;0;2;1;7;0;2;0;2;0;1;1;1
31488;31488;Saint-Jean;1;Grands centres urbains;11243;71,82;0;0;27,96;0;0;0,22;Haute-Garonne;Occitanie;2;0;0;0;0;0;0;1;0;0;0;0;0;0
31506;31506;Saint-Orens-de-Gameville;2;Centres urbains intermédiaires;13766;0;76,26;0;21,88;0;1,62;0,24;Haute-Garonne;Occitanie;3;0;0;1;0;0;0;1;0;0;0;0;1;1
31561;31561;L'Union;1;Grands centres urbains;12358;87,22;0;0;12,65;0;0;0,13;Haute-Garonne;Occitanie;3;4;0;1;1;1;0;1;0;0;0;0;0;0
31588;31588;Villeneuve-Tolosane;1;Grands centres urbains;10369;82,57;0;0;17,4;0;0;0,03;Haute-Garonne;Occitanie;1;1;0;0;0;0;0;1;0;0;0;0;0;0
33003;33003;Ambarès-et-Lagrave;2;Centres urbains intermédiaires;16798;0;59,91;0;37,18;0;2,64;0,27;Gironde;Nouvelle-Aquitaine;1;1;0;0;0;0;0;1;0;0;0;0;0;0
33005;33005;Andernos-les-Bains;3;Petites villes;12472;0;0;94,93;0;0;4,65;0,42;Gironde;Nouvelle-Aquitaine;3;6;3;1;1;0;0;1;1;0;0;1;0;0
33009;33009;Arcachon;4;Ceintures urbaines;11259;0;43,38;0;55,46;0;0,76;0,4;Gironde;Nouvelle-Aquitaine;3;23;1;2;1;3;0;1;1;1;0;1;1;1
33051;33051;Biganos;2;Centres urbains intermédiaires;11095;0;45,83;0;40,48;0;12,02;1,67;Gironde;Nouvelle-Aquitaine;1;1;1;1;1;1;0;1;0;0;0;0;0;0
33056;33056;Blanquefort;1;Grands centres urbains;16004;50,24;0;0;47,03;0;1,76;0,96;Gironde;Nouvelle-Aquitaine;2;2;0;1;1;2;0;1;0;0;1;0;1;1
33122;33122;Cestas;4;Ceintures urbaines;16789;0;0;0;84,24;0,86;12,6;2,3;Gironde;Nouvelle-Aquitaine;4;2;0;0;1;2;0;1;0;0;0;0;0;0
33167;33167;Floirac;1;Grands centres urbains;17749;95,13;0;0;4,85;0;0,02;0;Gironde;Nouvelle-Aquitaine;2;2;0;5;0;0;0;2;0;0;0;1;1;0
33200;33200;Le Haillan;1;Grands centres urbains;11572;83,62;0;0;15,47;0;0,77;0,14;Gironde;Nouvelle-Aquitaine;1;1;0;0;1;1;0;1;0;0;0;0;1;1
33238;33238;Léognan;4;Ceintures urbaines;10708;0,22;0;0;86,47;0;12,8;0,51;Gironde;Nouvelle-Aquitaine;1;0;0;1;1;1;0;1;0;0;1;0;1;1
33284;33284;Mios;5;Bourgs ruraux;11469;0;0;48,63;0;13,09;35,57;2,7;Gironde;Nouvelle-Aquitaine;0;3;1;0;0;0;0;1;0;0;0;1;0;0
33312;33312;Parempuyre;2;Centres urbains intermédiaires;10142;0;65,6;0;27,69;0;5,04;1,67;Gironde;Nouvelle-Aquitaine;1;0;0;1;0;0;0;1;0;0;0;0;0;0
33366;33366;Saint-André-de-Cubzac;2;Centres urbains intermédiaires;12854;0;46,77;0;36,97;0;16,24;0,02;Gironde;Nouvelle-Aquitaine;1;0;1;2;1;0;0;1;0;0;0;0;0;0
33433;33433;Saint-Loubès;4;Ceintures urbaines;10005;0;0;0;81,93;0;16,93;1,14;Gironde;Nouvelle-Aquitaine;1;2;0;0;0;0;0;1;0;0;0;0;1;1
33519;33519;Le Taillan-Médoc;1;Grands centres urbains;10727;73,57;0;0;23,94;0;2,33;0,15;Gironde;Nouvelle-Aquitaine;1;0;0;0;0;0;0;1;0;0;0;0;0;0
34123;34123;Juvignac;4;Ceintures urbaines;12783;46,4;0;0;52,04;0;1,08;0,49;Hérault;Occitanie;2;2;0;0;0;0;0;1;0;0;0;0;0;0
